epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.65741,1.37266,3.15154,1.68686,0.5849,0.85,0.87983,0.63588,1.65876,1.0586,1.38192,0,0,0
2,7.64886,1.39053,3.29008,1.63019,0.56319,0.85,0.85552,0.63681,1.66188,1.04888,1.37887,1.17822e-06,1.17822e-06,1.17822e-06
3,9.49304,1.34604,4.11372,1.67863,0.55037,0.85,0.85646,0.62054,1.67301,1.04863,1.38258,2.33288e-06,2.33288e-06,2.33288e-06
4,11.3261,1.24859,3.18864,1.41773,0.57504,0.85,0.85562,0.62077,1.66471,1.03869,1.37789,3.46397e-06,3.46397e-06,3.46397e-06
5,13.1575,1.17894,3.37056,1.57067,0.62205,0.92369,0.90659,0.62654,1.64795,1.02937,1.3602,4.5715e-06,4.5715e-06,4.5715e-06
6,15.0486,1.68223,4.83251,2.03658,0.53995,0.86311,0.85915,0.62421,1.63938,1.04093,1.35166,5.65548e-06,5.65548e-06,5.65548e-06
7,17.0003,1.23277,1.88485,1.49543,0.57368,0.8652,0.86064,0.61667,1.63549,1.03282,1.34684,6.71588e-06,6.71588e-06,6.71588e-06
8,18.8058,1.05647,4.18065,1.37202,0.54217,0.86667,0.86336,0.61507,1.64581,1.04265,1.35199,7.75273e-06,7.75273e-06,7.75273e-06
9,20.6614,1.29442,3.48683,1.58944,0.57701,0.86667,0.84742,0.60012,1.62672,1.04252,1.34308,8.76602e-06,8.76602e-06,8.76602e-06
10,22.6768,1.22996,3.35999,1.63139,0.54937,0.86667,0.85443,0.60059,1.63517,1.05277,1.3456,9.75574e-06,9.75574e-06,9.75574e-06
11,24.8698,1.27195,2.66577,1.49607,0.58981,0.86667,0.81899,0.60137,1.63445,1.05397,1.3455,1.07219e-05,1.07219e-05,1.07219e-05
12,26.9251,0.90226,1.96264,1.2981,0.59547,0.86667,0.81907,0.60139,1.63389,1.06584,1.34676,1.16645e-05,1.16645e-05,1.16645e-05
13,28.9407,0.90185,2.8279,1.21153,0.58256,0.86667,0.89996,0.62932,1.63606,1.06335,1.34785,1.25835e-05,1.25835e-05,1.25835e-05
14,31.0152,1.49124,2.56907,1.89032,0.78615,0.65,0.88986,0.63224,1.64441,1.07907,1.35082,1.3479e-05,1.3479e-05,1.3479e-05
15,33.0472,1.06974,2.251,1.21991,0.78785,0.65,0.8901,0.63233,1.63873,1.0798,1.35188,1.43509e-05,1.43509e-05,1.43509e-05
16,35.0693,1.25328,2.39192,1.6129,0.83591,0.65,0.88482,0.63078,1.6477,1.09552,1.35878,1.51993e-05,1.51993e-05,1.51993e-05
17,36.743,0.87715,2.57197,1.21824,0.84624,0.64726,0.88509,0.63212,1.64723,1.10129,1.36124,1.60241e-05,1.60241e-05,1.60241e-05
18,38.4802,1.27388,2.06242,1.4469,0.84624,0.64726,0.88509,0.63212,1.64723,1.10129,1.36124,1.68253e-05,1.68253e-05,1.68253e-05
19,40.3696,1.08804,2.32795,1.24168,0.86108,0.64766,0.87698,0.62966,1.65117,1.12554,1.35886,1.7603e-05,1.7603e-05,1.7603e-05
20,42.1712,0.99528,1.68462,1.24708,0.86108,0.64766,0.87698,0.62966,1.65117,1.12554,1.35886,1.83571e-05,1.83571e-05,1.83571e-05
21,44.0218,1.33749,3.56475,1.69316,0.87117,0.63794,0.87828,0.63027,1.65761,1.14947,1.36671,1.90876e-05,1.90876e-05,1.90876e-05
22,45.799,1.35612,3.26104,1.73818,0.87117,0.63794,0.87828,0.63027,1.65761,1.14947,1.36671,1.97946e-05,1.97946e-05,1.97946e-05
23,47.6207,1.08534,2.25965,1.51339,0.86659,0.63598,0.87852,0.63039,1.66235,1.16793,1.36401,2.0478e-05,2.0478e-05,2.0478e-05
24,49.4008,1.08382,2.47833,1.53418,0.86659,0.63598,0.87852,0.63039,1.66235,1.16793,1.36401,2.11379e-05,2.11379e-05,2.11379e-05
25,50.9599,0.91421,1.8924,1.31351,0.86459,0.64091,0.86495,0.62403,1.67891,1.20969,1.37905,2.17741e-05,2.17741e-05,2.17741e-05
26,52.6676,1.08029,1.79597,1.40967,0.86459,0.64091,0.86495,0.62403,1.67891,1.20969,1.37905,2.23869e-05,2.23869e-05,2.23869e-05
27,54.4369,1.03746,1.87512,1.47967,0.85541,0.63925,0.86338,0.62334,1.69016,1.2434,1.38814,2.2976e-05,2.2976e-05,2.2976e-05
28,56.0939,0.83189,1.48164,1.17848,0.85541,0.63925,0.86338,0.62334,1.69016,1.2434,1.38814,2.35417e-05,2.35417e-05,2.35417e-05
29,57.8403,1.02646,1.84621,1.30289,0.85554,0.64256,0.8636,0.62571,1.6733,1.2547,1.37788,2.40837e-05,2.40837e-05,2.40837e-05
30,59.4947,1.34817,2.55203,1.66968,0.85554,0.64256,0.8636,0.62571,1.6733,1.2547,1.37788,2.46022e-05,2.46022e-05,2.46022e-05
31,61.3105,1.01855,1.58293,1.32001,0.8453,0.64069,0.85938,0.62667,1.70645,1.29293,1.40402,2.50971e-05,2.50971e-05,2.50971e-05
32,63.0373,0.91401,1.58754,1.32334,0.8453,0.64069,0.85938,0.62667,1.70645,1.29293,1.40402,2.55685e-05,2.55685e-05,2.55685e-05
33,64.7643,1.09669,2.21269,1.61449,0.82123,0.63672,0.85507,0.62677,1.69914,1.33388,1.40309,2.60163e-05,2.60163e-05,2.60163e-05
34,66.4581,1.07467,1.58367,1.30284,0.82123,0.63672,0.85507,0.62677,1.69914,1.33388,1.40309,2.64405e-05,2.64405e-05,2.64405e-05
35,68.1466,1.13253,2.24133,1.4278,0.80473,0.64947,0.85909,0.62884,1.67549,1.36875,1.39055,2.68412e-05,2.68412e-05,2.68412e-05
36,69.8855,1.00734,1.75268,1.22713,0.80473,0.64947,0.85909,0.62884,1.67549,1.36875,1.39055,2.72183e-05,2.72183e-05,2.72183e-05
37,71.6915,0.86524,1.58239,1.23165,0.8082,0.64547,0.8677,0.62698,1.66708,1.40881,1.39054,2.75718e-05,2.75718e-05,2.75718e-05
38,73.644,0.48262,1.17399,0.9638,0.8082,0.64547,0.8677,0.62698,1.66708,1.40881,1.39054,2.79018e-05,2.79018e-05,2.79018e-05
39,75.5722,0.67328,1.07192,1.03311,0.81187,0.63626,0.86484,0.62864,1.61558,1.43107,1.36622,2.82082e-05,2.82082e-05,2.82082e-05
